File,C,Alpha,D
en_book3.txt.tokens,0.303624709332852,1.5027939955217993,3.8146472591554286
en_macbeth.txt.tokens,0.273489571809933,1.3785958190411054,3.87706111467327
en_quixote.txt.tokens,0.6004883625917095,1.491161111337408,2.344427221939572
es_book1.txt.tokens,0.46968578684174994,1.5858367708007655,2.4096916051248067
es_book2.txt.tokens,0.26163446634586696,1.3462803302509203,3.4672804385441633
fi_book1.txt.tokens,0.10209345327984784,2.697701255974438,5.561561554786573
fi_book2.txt.tokens,0.2972453029421637,2.270977347749038,4.566429769767644
ru_book1.txt.tokens,0.06868853064046178,27.714767724657772,5.544468301663331
ru_book2.txt.tokens,0.08778873509951332,0.9785149313370921,5.808499167636119
ru_book3.txt.tokens,0.09031022813092164,1.2775930314592918,5.987888945637948
ru_book4.txt.tokens,0.826644093284442,0.9476421532402896,2.747640094550988
ru_book5.txt.tokens,0.09031022813092164,1.2775930314592918,5.987888945637948
zh_book1.txt.tokens,0.5717469069936995,1.8756839271424104,3.9655888156131978
zh_book2.txt.tokens,0.5013006513660055,1.8042447106384838,4.566653173073265
