File,Exponential a,Exponential b
en_book3.txt.tokens,3.8991248358564192,0.0010738871001994233
en_macbeth.txt.tokens,3.955373944193312,0.0009529938100050487
en_quixote.txt.tokens,2.5040308347609663,0.0031359419270276102
es_book1.txt.tokens,2.5219139337548615,0.0021309594186539977
es_book2.txt.tokens,3.6310089811994883,0.004986727890840301
fi_book1.txt.tokens,5.60344310549119,0.0006075763564864416
fi_book2.txt.tokens,4.630871975272227,0.0007981976883353806
ru_book1.txt.tokens,5.636306378701912,0.006159924805129446
ru_book2.txt.tokens,5.841704881692867,0.00023834292800311432
ru_book3.txt.tokens,6.067967193494457,0.0023402943520856377
ru_book4.txt.tokens,3.066726545157703,0.004478753642250245
ru_book5.txt.tokens,6.067967193494457,0.0023402943520856377
zh_book1.txt.tokens,4.090561045212486,0.00150618421232279
zh_book2.txt.tokens,4.679330144798959,0.00117698597609973
